StockCode,Description,QuantitySold,Revenue,UniqueCustomers,Recommendation
21843,RED RETROSPOT CAKE STAND,1808,17918.8,260,Increase Inventory
21844,RED RETROSPOT MUG,1813,4969.150000000001,99,Increase Inventory
21845,DAIRY MAID STRIPE MUG,1906,1720.3000000000002,63,Increase Inventory
21846,PINK DIAMANTE PEN IN GIFT BOX,72,365.62,12,Run Promotional Campaign
21847,GREEN  DIAMANTE PEN IN GIFT BOX,9,44.550000000000004,5,Run Promotional Campaign
21849,SILVER DIAMANTE PEN IN GIFT BOX,50,250.84000000000003,16,Run Promotional Campaign
21850,BLUE  DIAMANTE PEN IN GIFT BOX,60,271.8,12,Run Promotional Campaign
21851,LILAC DIAMANTE PEN IN GIFT BOX,26,138.72,12,Run Promotional Campaign
21864,UNION JACK FLAG PASSPORT COVER ,609,1190.3400000000001,65,Increase Inventory
21865,PINK UNION JACK  PASSPORT COVER ,220,457.08000000000004,52,Maintain Current Strategy
21866,UNION JACK FLAG LUGGAGE TAG,534,666.71,79,Increase Inventory
21867,PINK UNION JACK  LUGGAGE TAG,261,330.02,56,Maintain Current Strategy
21868,POTTING SHED TEA MUG,2344,2924.48,153,Increase Inventory
21870,I CAN ONLY PLEASE ONE PERSON MUG,1349,1658.89,97,Increase Inventory
21871,SAVE THE PLANET MUG,5264,6150.13,133,Increase Inventory
21872,GLAMOROUS  MUG,1265,1365.73,81,Increase Inventory
21873,IF YOU CAN'T STAND THE HEAT MUG,1583,1748.59,62,Increase Inventory
21874,GIN AND TONIC MUG,2845,3715.6099999999997,110,Increase Inventory
21875,KINGS CHOICE MUG,2000,2249.56,83,Increase Inventory
21876,POTTERING MUG,3541,4049.61,141,Increase Inventory
21877,HOME SWEET HOME MUG,5340,6698.56,174,Increase Inventory
21878,PACK OF 6 SANDCASTLE FLAGS ASSORTED,2396,1972.8999999999999,120,Increase Inventory
21879,HEARTS GIFT TAPE,1025,301.93,52,Increase Inventory
21880,RED RETROSPOT TAPE,1458,668.94,84,Increase Inventory
21881,CUTE CATS TAPE,975,315.55,37,Increase Inventory
21882,SKULLS TAPE,598,189.98000000000002,35,Increase Inventory
21883,STARS GIFT TAPE ,1368,581.0600000000001,82,Increase Inventory
21884,CAKES AND BOWS GIFT  TAPE,1017,318.81,43,Increase Inventory
21888,BINGO SET,1551,5718.21,210,Increase Inventory
21889,WOODEN BOX OF DOMINOES,5766,7200.95,336,Increase Inventory
21890,S/6 WOODEN SKITTLES IN COTTON BAG,1070,3247.16,143,Increase Inventory
21891,TRADITIONAL WOODEN SKIPPING ROPE,7904,9998.32,264,Increase Inventory
21892,TRADITIONAL WOODEN CATCH CUP GAME ,2910,3651.75,235,Increase Inventory
21894,POTTING SHED SEED ENVELOPES,471,604.48,57,Maintain Current Strategy
21895,POTTING SHED SOW 'N' GROW SET,1,4.25,1,Run Promotional Campaign
21896,POTTING SHED TWINE,946,2152.2000000000003,79,Increase Inventory
21897,POTTING SHED CANDLE CITRONELLA,402,1250.82,1,Maintain Current Strategy
21898,POTTING SHED ROSE CANDLE,445,1423.03,6,Maintain Current Strategy
21899,GARAGE KEY FOB,730,489.20000000000005,81,Increase Inventory
21899,"KEY FOB , GARAGE DESIGN",1870,1140.6200000000001,89,Increase Inventory
21900,"KEY FOB , SHED",3081,1959.13,166,Increase Inventory
21901,"KEY FOB , BACK DOOR ",1742,1140.26,143,Increase Inventory
21902,"KEY FOB , FRONT  DOOR ",1902,1168.2800000000002,114,Increase Inventory
21903,MAN FLU METAL SIGN,1127,2356.38,113,Increase Inventory
21904,HOUSE WRECKING METAL SIGN ,50,105.0,21,Run Promotional Campaign
21905,MORE BUTTER METAL SIGN ,684,705.3100000000001,84,Increase Inventory
21906,PHARMACIE FIRST AID TIN,483,3220.81,71,Maintain Current Strategy
21907,I'M ON HOLIDAY METAL SIGN,2292,4757.35,208,Increase Inventory
21908,CHOCOLATE THIS WAY METAL SIGN,3633,7204.320000000001,220,Increase Inventory
21910,WAY OUT METAL SIGN ,36,59.39999999999999,8,Run Promotional Campaign
21911,GARDEN METAL SIGN ,105,173.24999999999997,18,Maintain Current Strategy
21912,VINTAGE SNAKES & LADDERS,1571,5508.53,201,Increase Inventory
21913,VINTAGE SEASIDE JIGSAW PUZZLES,305,1142.53,72,Maintain Current Strategy
21914,BLUE HARMONICA IN BOX ,7431,9218.88,306,Increase Inventory
21915,RED  HARMONICA IN BOX ,20945,23756.43,349,Increase Inventory
21916,SET 12 RETRO WHITE CHALK STICKS,4362,1771.12,156,Increase Inventory
21917,SET 12 KIDS  WHITE CHALK STICKS,4090,1651.14,132,Increase Inventory
21918,SET 12 KIDS COLOUR  CHALK STICKS,7012,2814.2799999999997,193,Increase Inventory
21922,UNION STRIPE WITH FRINGE  HAMMOCK,758,5674.14,113,Increase Inventory
21925,UNION STRIPE CUSHION COVER ,403,503.75,38,Maintain Current Strategy
21926,RED/CREAM STRIPE CUSHION COVER ,414,509.9,35,Maintain Current Strategy
21927,BLUE/CREAM STRIPE CUSHION COVER ,622,769.9,41,Increase Inventory
21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,7754,14626.73,232,Increase Inventory
21928,JUMBO BAG SCANDINAVIAN PAISLEY,1945,3426.75,76,Increase Inventory
21929,JUMBO BAG PINK VINTAGE PAISLEY,9888,18427.9,308,Increase Inventory
21930,JUMBO STORAGE BAG SKULLS,5694,10865.83,220,Increase Inventory
21931,JUMBO STORAGE BAG SUKI,11513,21784.84,333,Increase Inventory
21932,SCANDINAVIAN PAISLEY PICNIC BAG,2463,4357.06,218,Increase Inventory
21933,PINK VINTAGE PAISLEY PICNIC BAG,2406,4289.26,198,Increase Inventory
21934,SKULL SHOULDER BAG,1288,2081.2,85,Increase Inventory
21935,SUKI  SHOULDER BAG,1763,2824.37,121,Increase Inventory
21936,RED RETROSPOT PICNIC BAG,3756,10365.76,223,Increase Inventory
21937,STRAWBERRY   PICNIC BAG,1590,4430.5,146,Increase Inventory
21942,SKULLS DESIGN FLANNEL,161,134.54999999999998,14,Maintain Current Strategy
21943,CAKES AND RABBITS DESIGN FLANNEL ,57,48.449999999999996,7,Run Promotional Campaign
21944,KITTENS DESIGN FLANNEL,232,177.88,24,Maintain Current Strategy
21945,STRAWBERRIES  DESIGN FLANNEL ,225,190.79,27,Maintain Current Strategy
21946,PARTY TIME DESIGN FLANNEL,72,58.9,8,Run Promotional Campaign
21947,SET OF 6 HEART CHOPSTICKS,594,741.48,62,Increase Inventory
21948,SET OF 6 CAKE CHOPSTICKS,417,541.82,37,Maintain Current Strategy
21949,SET OF 6 STRAWBERRY CHOPSTICKS,613,725.49,46,Increase Inventory
21955,DOORMAT UNION JACK GUNS AND ROSES,1157,6619.41,108,Increase Inventory
21967,PACK OF 12 SKULL TISSUES,5162,1504.9799999999998,129,Increase Inventory
21972,SET OF 36 DINOSAUR PAPER DOILIES,292,423.4,35,Maintain Current Strategy
21973,SET OF 36 MUSHROOM PAPER DOILIES,159,230.54999999999998,25,Maintain Current Strategy
21974,SET OF 36 PAISLEY FLOWER DOILIES,2036,2942.5099999999998,177,Increase Inventory
21975,PACK OF 60 DINOSAUR CAKE CASES,12106,5919.280000000001,287,Increase Inventory
21976,PACK OF 60 MUSHROOM CAKE CASES,4936,2496.08,181,Increase Inventory
21977,PACK OF 60 PINK PAISLEY CAKE CASES,24230,11611.0,410,Increase Inventory
21980,PACK OF 12 RED RETROSPOT TISSUES ,6521,2002.7299999999998,192,Increase Inventory
21981,PACK OF 12 WOODLAND TISSUES ,5281,1508.87,143,Increase Inventory
21982,PACK OF 12 SUKI TISSUES ,6907,1995.05,182,Increase Inventory
21983,PACK OF 12 BLUE PAISLEY TISSUES ,2223,712.7299999999999,98,Increase Inventory
21984,PACK OF 12 PINK PAISLEY TISSUES ,3294,999.5999999999999,123,Increase Inventory
21985,PACK OF 12 HEARTS DESIGN TISSUES ,8541,2542.17,262,Increase Inventory
21986,PACK OF 12 PINK POLKADOT TISSUES,3985,1129.79,118,Increase Inventory
21987,PACK OF 6 SKULL PAPER CUPS,2050,1254.74,106,Increase Inventory
21988,PACK OF 6 SKULL PAPER PLATES,2194,1663.3,101,Increase Inventory
21989,PACK OF 20 SKULL PAPER NAPKINS,2065,1672.6899999999998,130,Increase Inventory
21990,MODERN FLORAL STATIONERY SET,1212,1734.6,127,Increase Inventory
21991,BOHEMIAN COLLAGE STATIONERY SET,471,675.53,80,Maintain Current Strategy
21992,VINTAGE PAISLEY STATIONERY SET,1151,1640.29,160,Increase Inventory
21993,FLORAL FOLK STATIONERY SET,1360,1927.3500000000001,151,Increase Inventory
22021,BLUE FELT EASTER EGG BASKET,350,577.4999999999999,60,Maintain Current Strategy
22023,EMPIRE BIRTHDAY CARD,1131,476.25,71,Increase Inventory
22024,RAINY LADIES BIRTHDAY CARD,2280,918.91,90,Increase Inventory
22025,RING OF ROSES BIRTHDAY CARD,1764,702.0,73,Increase Inventory
22026,BANQUET BIRTHDAY  CARD  ,1560,642.24,71,Increase Inventory
22027,TEA PARTY BIRTHDAY CARD,4141,1692.71,180,Increase Inventory
22028,PENNY FARTHING BIRTHDAY CARD,2903,1198.45,124,Increase Inventory
22029,SPACEBOY BIRTHDAY CARD,7834,3120.14,234,Increase Inventory
22030,SWALLOWS GREETING CARD,5337,2120.55,179,Increase Inventory
22031,BOTANICAL LAVENDER BIRTHDAY CARD,363,158.61,28,Maintain Current Strategy
22032,BOTANICAL LILY GREETING CARD,361,151.62,28,Maintain Current Strategy
22033,BOTANICAL ROSE GREETING CARD,336,141.12,20,Maintain Current Strategy
22034,ROBIN CHRISTMAS CARD,3,1.26,1,Run Promotional Campaign
22035,VINTAGE CARAVAN GREETING CARD ,1394,569.02,65,Increase Inventory
22037,ROBOT BIRTHDAY CARD,3747,1552.96,173,Increase Inventory
22038,BOTANICAL LAVENDER GIFT WRAP ,475,199.5,19,Maintain Current Strategy
22039,BOTANICAL LILY GIFT WRAP,250,105.0,6,Maintain Current Strategy
22040,BOTANICAL ROSE GIFT WRAP,725,304.5,27,Increase Inventory
22041,"RECORD FRAME 7"" SINGLE SIZE ",3812,8450.82,73,Increase Inventory
22042,CHRISTMAS CARD SINGING ANGEL,360,151.2,24,Maintain Current Strategy
22043,CHRISTMAS CARD SCREEN PRINT ,1188,283.32,40,Increase Inventory
22044,CHRISTMAS CARD STACK OF PRESENTS,816,196.44,35,Increase Inventory
22045,SPACEBOY GIFT WRAP,6477,2652.34,148,Increase Inventory
22046,TEA PARTY  WRAPPING PAPER ,2250,929.0,62,Increase Inventory
22047,EMPIRE GIFT WRAP,3350,1363.0,93,Increase Inventory
22048,BIRTHDAY BANQUET GIFT WRAP,975,393.5,32,Increase Inventory
22049,WRAP CHRISTMAS SCREEN PRINT,1000,270.5,26,Increase Inventory
22050,PINK PAISLEY ROSE GIFT WRAP,1225,498.5,37,Increase Inventory
22051,BLUE SCANDINAVIAN PAISLEY WRAP,975,409.5,36,Increase Inventory
22052,VINTAGE CARAVAN GIFT WRAP,571,239.82,22,Increase Inventory
22053,EMPIRE DESIGN ROSETTE,4236,3596.4199999999996,23,Increase Inventory
22055,MINI CAKE STAND  HANGING STRAWBERY,1246,1661.78,102,Increase Inventory
22057,CERAMIC PLATE STRAWBERRY DESIGN,578,648.18,46,Increase Inventory
22059,CERAMIC STRAWBERRY DESIGN MUG,1739,1960.47,85,Increase Inventory
22060,LARGE CAKE STAND HANGING HEARTS,231,1111.05,31,Maintain Current Strategy
22061,LARGE CAKE STAND  HANGING STRAWBERY,564,3854.68,86,Increase Inventory
22062,CERAMIC BOWL WITH LOVE HEART DESIGN,554,599.74,43,Increase Inventory
22063,CERAMIC BOWL WITH STRAWBERRY DESIGN,537,1106.5500000000002,56,Increase Inventory
22064,PINK DOUGHNUT TRINKET POT ,1602,2132.7,85,Increase Inventory
22065,CHRISTMAS PUDDING TRINKET POT ,6418,2883.44,132,Increase Inventory
22066,LOVE HEART TRINKET POT,2232,1029.1399999999999,99,Increase Inventory
22067,CHOC TRUFFLE GOLD TRINKET POT ,385,562.53,32,Maintain Current Strategy
22068,BLACK PIRATE TREASURE CHEST,432,502.37999999999994,56,Maintain Current Strategy
22069,BROWN  PIRATE TREASURE CHEST ,218,237.47999999999996,26,Maintain Current Strategy
22070,SMALL RED RETROSPOT MUG IN BOX ,873,2030.68,62,Increase Inventory
22071,SMALL WHITE RETROSPOT MUG IN BOX ,710,1295.04,64,Increase Inventory
22072,RED RETROSPOT TEA CUP AND SAUCER ,807,2519.19,90,Increase Inventory
22073,RED RETROSPOT STORAGE JAR,298,1067.1,38,Maintain Current Strategy
22074,6 RIBBONS SHIMMERING PINKS ,1000,772.9399999999999,61,Increase Inventory
22075,6 RIBBONS ELEGANT CHRISTMAS ,1538,2004.9199999999998,96,Increase Inventory
22076,6 RIBBONS EMPIRE  ,1034,1302.7199999999998,96,Increase Inventory
22077,6 RIBBONS RUSTIC CHARM,8594,14969.839999999998,413,Increase Inventory
22078,RIBBON REEL LACE DESIGN ,1288,2584.8,105,Increase Inventory
22079,RIBBON REEL HEARTS DESIGN ,1701,2808.89,190,Increase Inventory
22080,RIBBON REEL POLKADOTS ,1167,1877.55,116,Increase Inventory
22081,RIBBON REEL FLORA + FAUNA ,585,978.37,74,Increase Inventory
22082,RIBBON REEL STRIPES DESIGN ,2525,4154.33,250,Increase Inventory
22083,PAPER CHAIN KIT RETROSPOT,4265,11935.310000000001,294,Increase Inventory
22084,PAPER CHAIN KIT EMPIRE,4885,13411.550000000001,277,Increase Inventory
22085,PAPER CHAIN KIT SKULLS ,507,1415.65,62,Increase Inventory
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,15591,42584.130000000005,613,Increase Inventory
22087,PAPER BUNTING WHITE LACE,3772,10243.400000000001,155,Increase Inventory
22088,PAPER BUNTING COLOURED LACE,1698,4683.1,115,Increase Inventory
22089,PAPER BUNTING VINTAGE PAISLEY,1189,3395.55,142,Increase Inventory
22090,PAPER BUNTING RETROSPOT,6877,18785.99,325,Increase Inventory
22091,EMPIRE TISSUE BOX,1937,919.6700000000001,97,Increase Inventory
22092,BLUE PAISLEY TISSUE BOX,666,311.56,75,Increase Inventory
22093,MOTORING TISSUE BOX,1823,804.8100000000001,114,Increase Inventory
22094,RED RETROSPOT TISSUE BOX,2081,930.0400000000001,117,Increase Inventory
22095,LADS ONLY TISSUE BOX,1571,1427.59,72,Increase Inventory
22096,PINK PAISLEY SQUARE TISSUE BOX ,1357,561.75,89,Increase Inventory
22097,SWALLOW SQUARE TISSUE BOX,1577,685.5500000000001,103,Increase Inventory
22098,BOUDOIR SQUARE TISSUE BOX,1955,910.08,98,Increase Inventory
22099,CARAVAN SQUARE TISSUE BOX,1399,703.57,96,Increase Inventory
22100,SKULLS SQUARE TISSUE BOX,727,304.17,34,Increase Inventory
22101,MIRROR MOSAIC VOTIVE HOLDER,837,631.62,21,Increase Inventory
22102,MIRROR MOSAIC T-LIGHT HOLDER ,1533,715.05,13,Increase Inventory
22103,MIRROR MOSAIC T-LIGHT HOLDER ROUND,1153,694.29,12,Increase Inventory
22104,MIRROR MOSAIC CANDLE PLATE,151,120.07,9,Maintain Current Strategy
22105,MIRROR MOSAIC GOBLET CANDLE HOLDER,506,566.5,9,Increase Inventory
22106,MIRROR MOSAIC HURRICANE LAMP ,286,584.9,9,Maintain Current Strategy
22107,PIZZA PLATE IN BOX,291,962.48,44,Maintain Current Strategy
22108,PING! MICROWAVE PLATE,101,246.53,16,Maintain Current Strategy
22109,FULL ENGLISH BREAKFAST PLATE,1381,4985.55,100,Increase Inventory
22110,BIRD HOUSE HOT WATER BOTTLE,617,1562.06,116,Increase Inventory
22111,SCOTTIE DOG HOT WATER BOTTLE,4248,20049.9,425,Increase Inventory
22112,CHOCOLATE HOT WATER BOTTLE,5152,23584.64,382,Increase Inventory
22113,GREY HEART HOT WATER BOTTLE,3145,12148.9,337,Increase Inventory
22114,HOT WATER BOTTLE TEA AND SYMPATHY,3729,15386.07,325,Increase Inventory
22115,METAL SIGN EMPIRE TEA,1495,1706.8100000000002,152,Increase Inventory
22116,METAL SIGN HIS DINNER IS SERVED,505,493.39000000000004,65,Increase Inventory
22117,METAL SIGN HER DINNER IS SERVED ,1290,3802.5,58,Increase Inventory
22118,JOY WOODEN BLOCK LETTERS,217,742.63,67,Maintain Current Strategy
22119,PEACE WOODEN BLOCK LETTERS,342,1699.66,82,Maintain Current Strategy
22120,WELCOME  WOODEN BLOCK LETTERS,502,4826.67,121,Increase Inventory
22121,NOEL WOODEN BLOCK LETTERS ,332,1924.94,94,Maintain Current Strategy
22123,PING MICROWAVE APRON,442,793.5999999999999,59,Maintain Current Strategy
22124,SET OF 2 TEA TOWELS PING MICROWAVE,78,127.42,14,Run Promotional Campaign
22125,UNION JACK HOT WATER BOTTLE ,4,23.8,1,Run Promotional Campaign
22127,PARTY CONES CARNIVAL ASSORTED,402,479.7,20,Maintain Current Strategy
22128,PARTY CONES CANDY ASSORTED,1729,2042.69,62,Increase Inventory
22129,PARTY CONES CANDY DECORATION,296,233.27999999999997,6,Maintain Current Strategy
22129,PARTY CONES CANDY TREE DECORATION,690,552.18,27,Increase Inventory
22130,PARTY CONE CHRISTMAS DECORATION ,1505,1260.53,78,Increase Inventory
22131,FOOD CONTAINER SET 3 LOVE HEART ,1884,3358.72,115,Increase Inventory
22132,RED LOVE HEART SHAPE CUP,935,772.91,60,Increase Inventory
22133,PINK LOVE HEART SHAPE CUP,702,585.78,41,Increase Inventory
22134,LADLE LOVE HEART RED ,6,2.52,1,Run Promotional Campaign
22134,MINI LADLE LOVE HEART RED ,630,252.24,28,Increase Inventory
22135,LADLE LOVE HEART PINK,19,7.98,3,Run Promotional Campaign
22135,MINI LADLE LOVE HEART PINK,242,106.56,20,Maintain Current Strategy
22136,LOVE HEART SOCK HANGER,333,530.25,37,Maintain Current Strategy
22137,BATHROOM SET LOVE HEART DESIGN,68,191.0,9,Run Promotional Campaign
22138,BAKING SET 9 PIECE RETROSPOT ,4786,22953.100000000002,581,Increase Inventory
22139,RETROSPOT TEA SET CERAMIC 11 PC ,4239,20426.23,488,Increase Inventory
22141,CHRISTMAS CRAFT TREE TOP ANGEL,2443,5015.080000000001,256,Increase Inventory
22142,CHRISTMAS CRAFT WHITE FAIRY ,3070,4334.94,259,Increase Inventory
22144,CHRISTMAS CRAFT LITTLE FRIENDS,3459,7109.200000000001,319,Increase Inventory
22145,CHRISTMAS CRAFT HEART STOCKING ,30,63.0,1,Run Promotional Campaign
22146,EASTER CRAFT IVY WREATH WITH CHICK,1,1.95,1,Run Promotional Campaign
22147,FELTCRAFT BUTTERFLY HEARTS,6123,8308.75,287,Increase Inventory
22148,EASTER CRAFT 4 CHICKS ,1813,3355.35,148,Increase Inventory
22149,FELTCRAFT 6 FLOWER FRIENDS,5882,11549.59,337,Increase Inventory
22150,3 STRIPEY MICE FELTCRAFT,2914,5460.5,288,Increase Inventory
22151,PLACE SETTING WHITE HEART,14853,5912.19,174,Increase Inventory
22152,PLACE SETTING WHITE STAR,2350,967.13,70,Increase Inventory
22153,ANGEL DECORATION STARS ON DRESS,2399,987.42,61,Increase Inventory
22154,ANGEL DECORATION 3 BUTTONS ,3528,1455.84,87,Increase Inventory
22155,STAR DECORATION RUSTIC,2201,924.42,67,Increase Inventory
22156,HEART DECORATION WITH PEARLS ,1873,1586.4599999999998,106,Increase Inventory
22157,ANGEL DECORATION WITH LACE PADDED,212,180.2,11,Maintain Current Strategy
22158,3 HEARTS HANGING DECORATION RUSTIC,2845,8013.71,196,Increase Inventory
22161,HEART DECORATION RUSTIC HANGING ,4138,855.9200000000001,118,Increase Inventory
22162,HEART GARLAND RUSTIC PADDED,106,312.7,21,Maintain Current Strategy
22163,HEART STRING MEMO HOLDER HANGING,626,580.94,41,Increase Inventory
22164,STRING OF STARS CARD HOLDER,71,209.45000000000005,11,Run Promotional Campaign
22165,"DIAMANTE HEART SHAPED WALL MIRROR, ",267,1490.65,27,Maintain Current Strategy
22166,WALL MIRROR RECTANGLE DIAMANTE PINK,122,489.9000000000001,13,Maintain Current Strategy
22167, OVAL WALL MIRROR DIAMANTE ,120,1050.0,41,Maintain Current Strategy
22168,ORGANISER WOOD ANTIQUE WHITE ,139,1171.3,69,Maintain Current Strategy
22169,FAMILY ALBUM WHITE PICTURE FRAME,1074,8408.14,165,Increase Inventory
22170,PICTURE FRAME WOOD TRIPLE PORTRAIT,1023,6378.150000000001,142,Increase Inventory
22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,1706,12160.08,172,Increase Inventory
22173,METAL 4 HOOK HANGER FRENCH CHATEAU,2149,6267.39,210,Increase Inventory
22174,PHOTO CUBE,2667,3997.91,104,Increase Inventory
22175,PINK OWL SOFT TOY,839,2379.05,84,Increase Inventory
22176,BLUE OWL SOFT TOY,488,1420.4,62,Maintain Current Strategy
22178,VICTORIAN GLASS HANGING T-LIGHT,22404,28735.36,403,Increase Inventory
22179,SET 10 LIGHTS NIGHT OWL,407,2593.65,53,Maintain Current Strategy
22179,SET 10 NIGHT OWL LIGHTS,388,2510.34,59,Maintain Current Strategy
22180,RETROSPOT LAMP,299,2922.85,92,Maintain Current Strategy
22181,SNOWSTORM PHOTO FRAME FRIDGE MAGNET,577,477.96999999999997,40,Increase Inventory
22182,CAKE STAND VICTORIAN FILIGREE SMALL,204,713.8000000000001,30,Maintain Current Strategy
22183,CAKE STAND VICTORIAN FILIGREE MED,74,466.95000000000005,16,Run Promotional Campaign
22184,CAKE STAND VICTORIAN FILIGREE LARGE,8,68.0,3,Run Promotional Campaign
22185,SLATE TILE NATURAL HANGING,1390,1974.1999999999998,111,Increase Inventory
22186,RED STAR CARD HOLDER,801,1723.79,111,Increase Inventory
22187,GREEN CHRISTMAS TREE CARD HOLDER,1183,2562.27,123,Increase Inventory
22188,BLACK HEART CARD HOLDER,4843,12257.95,123,Increase Inventory
22189,CREAM HEART CARD HOLDER,8188,22687.920000000002,274,Increase Inventory
22190,LOCAL CAFE MUG,566,785.13,38,Increase Inventory
22191,IVORY DINER WALL CLOCK,1419,11527.7,239,Increase Inventory
22192,BLUE DINER WALL CLOCK,907,7528.93,179,Increase Inventory
22193,RED DINER WALL CLOCK,1349,11048.890000000001,206,Increase Inventory
22194,BLACK DINER WALL CLOCK,53,450.5,24,Run Promotional Campaign
22195,LARGE HEART MEASURING SPOONS,1696,2836.9199999999996,148,Increase Inventory
22196,SMALL HEART MEASURING SPOONS,2379,2008.6299999999999,146,Increase Inventory
22197,POPCORN HOLDER,30919,23417.51,295,Increase Inventory
22197,SMALL POPCORN HOLDER,18241,13789.369999999999,228,Increase Inventory
22198,LARGE POPCORN HOLDER ,873,1370.4499999999998,42,Increase Inventory
22199,FRYING PAN RED POLKADOT ,1,4.25,1,Run Promotional Campaign
22199,FRYING PAN RED RETROSPOT,382,1323.0,71,Maintain Current Strategy
22200,FRYING PAN PINK POLKADOT,326,1209.54,51,Maintain Current Strategy
22201,FRYING PAN BLUE POLKADOT,108,366.0,29,Maintain Current Strategy
22202,MILK PAN PINK POLKADOT,39,146.25,16,Run Promotional Campaign
22203,MILK PAN RED RETROSPOT,310,996.13,75,Maintain Current Strategy
22204,MILK PAN BLUE POLKADOT,96,302.5,23,Run Promotional Campaign
22207,FRYING PAN UNION FLAG,1199,4727.11,68,Increase Inventory
22208,WOOD STAMP SET THANK YOU,1283,1229.12,148,Increase Inventory
22209,WOOD STAMP SET HAPPY BIRTHDAY,820,798.67,100,Increase Inventory
22210,WOOD STAMP SET BEST WISHES,912,820.91,117,Increase Inventory
22211,WOOD STAMP SET FLOWERS,782,806.7299999999999,101,Increase Inventory
22212,FOUR HOOK  WHITE LOVEBIRDS,1416,2904.8700000000003,145,Increase Inventory
22214,CANDLE PLATE LACE WHITE,114,246.7,18,Maintain Current Strategy
22215,CAKE STAND WHITE TWO TIER LACE,330,2254.5,71,Maintain Current Strategy
22216,T-LIGHT HOLDER WHITE LACE,327,182.31,17,Maintain Current Strategy
22217,T-LIGHT HOLDER HANGING LACE,764,646.26,63,Increase Inventory
22218,CAKE STAND LACE WHITE,1,4.25,1,Run Promotional Campaign
22219,LOVEBIRD HANGING DECORATION WHITE ,3367,2814.37,190,Increase Inventory
22220,CAKE STAND LOVEBIRD 2 TIER WHITE,213,1489.55,64,Maintain Current Strategy
22221,CAKE STAND LOVEBIRD 2 TIER PINK,124,964.4,37,Maintain Current Strategy
22222,CAKE PLATE LOVEBIRD WHITE,824,2599.2,104,Increase Inventory
22223,CAKE PLATE LOVEBIRD PINK,315,902.85,34,Maintain Current Strategy
22224,WHITE LOVEBIRD LANTERN,687,1970.65,89,Increase Inventory
22227,HANGING HEART MIRROR DECORATION ,1969,1276.8500000000001,83,Increase Inventory
22228,BUNNY WOODEN PAINTED WITH BIRD ,851,597.31,81,Increase Inventory
22229,BUNNY WOODEN PAINTED WITH FLOWER ,495,334.27,54,Maintain Current Strategy
22230,JIGSAW TREE WITH WATERING CAN,925,356.16999999999996,50,Increase Inventory
22231,JIGSAW TREE WITH BIRDHOUSE,867,821.13,93,Increase Inventory
22232,JIGSAW TOADSTOOLS 3 PIECE,623,506.42999999999995,54,Increase Inventory
22233,JIGSAW RABBIT AND BIRDHOUSE,540,514.6999999999999,70,Increase Inventory
22236,CAKE STAND 3 TIER MAGIC GARDEN,308,3624.5999999999995,67,Maintain Current Strategy
22241,GARLAND WOODEN HAPPY EASTER,1762,2147.78,125,Increase Inventory
22242,5 HOOK HANGER MAGIC TOADSTOOL,631,964.3499999999999,23,Increase Inventory
22243,5 HOOK HANGER RED MAGIC TOADSTOOL,3054,4595.099999999999,71,Increase Inventory
22244,3 HOOK HANGER MAGIC GARDEN,1615,2911.6499999999996,66,Increase Inventory
22245,"HOOK, 1 HANGER ,MAGIC GARDEN",1198,965.26,44,Increase Inventory
22246,"GARLAND, MAGIC GARDEN 1.8M",12,23.4,1,Run Promotional Campaign
22246,MAGIC GARDEN FELT GARLAND ,266,531.78,30,Maintain Current Strategy
22247,BUNNY DECORATION MAGIC GARDEN,483,406.39,54,Maintain Current Strategy
22248,DECORATION  PINK CHICK MAGIC GARDEN,382,320.53999999999996,43,Maintain Current Strategy
22249,DECORATION WHITE CHICK MAGIC GARDEN,629,530.49,73,Increase Inventory
22250,DECORATION  BUTTERFLY  MAGIC GARDEN,447,375.78999999999996,57,Maintain Current Strategy
22251,BIRDHOUSE DECORATION MAGIC GARDEN,518,642.94,66,Increase Inventory
22252,BIRDCAGE DECORATION TEALIGHT HOLDER,643,761.57,48,Increase Inventory
22254,FELT TOADSTOOL LARGE,594,706.02,33,Increase Inventory
22255,FELT TOADSTOOL  SMALL,542,460.7,33,Increase Inventory
22256,FELT FARM ANIMAL CHICKEN,257,321.25,32,Maintain Current Strategy
22257,FELT FARM ANIMAL SHEEP,283,194.39,16,Maintain Current Strategy
22258,FELT FARM ANIMAL RABBIT,722,543.9399999999999,35,Increase Inventory
22259,FELT FARM ANIMAL HEN,384,240.96,16,Maintain Current Strategy
22260,FELT EGG COSY BLUE RABBIT ,410,351.62,37,Maintain Current Strategy
22261,FELT EGG COSY WHITE RABBIT ,514,442.35999999999996,61,Increase Inventory
22262,FELT EGG COSY CHICKEN,920,785.12,62,Increase Inventory
22263,FELT EGG COSY LADYBIRD ,255,124.83,14,Maintain Current Strategy
22264,FELT FARM ANIMAL WHITE BUNNY ,1391,517.07,38,Increase Inventory
22265,EASTER DECORATION NATURAL CHICK,510,331.50000000000006,42,Increase Inventory
22266,EASTER DECORATION HANGING BUNNY,1860,562.7,69,Increase Inventory
22267,EASTER DECORATION EGG BUNNY ,828,654.7,67,Increase Inventory
22268,DECORATION SITTING BUNNY,1335,257.61,32,Increase Inventory
