StockCode,Description,QuantitySold,Revenue,InventoryStatus,ReorderAlert
21714,CITRONELLA CANDLE GARDEN POT,1079,1348.75,Fast Moving,YES
21715,GIRLS VINTAGE TIN SEASIDE BUCKET,1141,2736.75,Fast Moving,YES
21716,BOYS VINTAGE TIN SEASIDE BUCKET,1190,2880.92,Fast Moving,YES
21717,EASTER TIN BUCKET,405,931.95,Medium Moving,NO
21718,RED METAL BEACH SPADE ,1288,1612.42,Fast Moving,YES
21719,LOVELY BONBON STICKER SHEET,301,255.85,Medium Moving,NO
21720,CAKE SHOP  STICKER SHEET,57,48.449999999999996,Slow Moving,NO
21721,CANDY SHOP  STICKER SHEET,175,148.75,Slow Moving,NO
21722,SWEET PUDDING STICKER SHEET,65,55.24999999999999,Slow Moving,NO
21723,ALPHABET HEARTS STICKER SHEET,367,311.95,Medium Moving,NO
21724,PANDA AND BUNNIES STICKER SHEET,372,316.2,Medium Moving,NO
21725,SWEETIES  STICKERS,274,232.89999999999998,Medium Moving,NO
21726,MULTI HEARTS  STICKERS,231,196.35,Medium Moving,NO
21730,GLASS STAR FROSTED T-LIGHT HOLDER,497,2319.19,Medium Moving,NO
21731,RED TOADSTOOL LED NIGHT LIGHT,12863,19831.71,Fast Moving,YES
21733,RED HANGING HEART T-LIGHT HOLDER,7749,22595.190000000002,Fast Moving,YES
21735,TWO DOOR CURIO CABINET,210,2551.95,Medium Moving,NO
21736,GOLD SCROLL GLASS T-LIGHT HOLDER,80,137.22000000000003,Slow Moving,NO
21738,COSY SLIPPER SHOES SMALL  RED ,43,126.85000000000001,Slow Moving,NO
21739,COSY SLIPPER SHOES SMALL GREEN,141,411.54,Slow Moving,NO
21741,COSY SLIPPER SHOES LARGE GREEN,131,386.45000000000005,Slow Moving,NO
21742,LARGE ROUND WICKER PLATTER ,192,1142.4,Slow Moving,NO
21743,STAR PORTABLE TABLE LIGHT ,274,750.7,Medium Moving,NO
21744,SNOWFLAKE PORTABLE TABLE LIGHT ,365,1122.19,Medium Moving,NO
21745,GAOLERS KEYS DECORATIVE GARDEN ,926,3400.94,Medium Moving,YES
21746,SMALL RED RETROSPOT WINDMILL,2974,3521.7000000000003,Fast Moving,YES
21747,SMALL SKULL WINDMILL,437,527.53,Medium Moving,NO
21749,LARGE RED RETROSPOT WINDMILL,1900,3645.0000000000005,Fast Moving,YES
21750,LARGE SKULL WINDMILL,77,161.70000000000002,Slow Moving,NO
21754,HOME BUILDING BLOCK WORD,2633,15504.51,Fast Moving,YES
21755,LOVE BUILDING BLOCK WORD,1923,11398.710000000001,Fast Moving,YES
21756,BATH BUILDING BLOCK WORD,778,4644.530000000001,Medium Moving,YES
21757,LIGHTHOUSE PRINTED METAL SIGN,6,29.700000000000003,Slow Moving,NO
21758,VINTAGE SHELLS PRINT,32,202.4,Slow Moving,NO
21761,WOOD AND GLASS MEDICINE CABINET,10,299.5,Slow Moving,NO
21763,VINTAGE WOODEN BAR STOOL,6,169.75,Slow Moving,NO
21769,VINTAGE POST OFFICE CABINET,11,607.6500000000001,Slow Moving,NO
21770,OPEN CLOSED METAL SIGN,1574,7296.51,Fast Moving,YES
21773,DECORATIVE ROSE BATHROOM BOTTLE,920,693.52,Medium Moving,YES
21774,DECORATIVE CATS BATHROOM BOTTLE,835,647.03,Medium Moving,YES
21775,DECORATIVE FLORE BATHROOM BOTTLE,283,313.91,Medium Moving,NO
21777,RECIPE BOX WITH METAL HEART,7,55.65,Slow Moving,NO
21781,MA CAMPAGNE CUTLERY BOX,137,1997.55,Slow Moving,NO
21784,SHOE SHINE BOX ,51,507.44999999999993,Slow Moving,NO
21785,RAIN PONCHO ,410,267.1,Medium Moving,NO
21786,POLKADOT RAIN HAT ,1586,629.89,Fast Moving,YES
21787,RAIN PONCHO RETROSPOT,8752,6962.08,Fast Moving,YES
21788,KIDS RAIN MAC BLUE,1199,933.53,Fast Moving,YES
21789,KIDS RAIN MAC PINK,796,672.5799999999999,Medium Moving,YES
21790,VINTAGE SNAP CARDS,13329,10441.47,Fast Moving,YES
21791,VINTAGE HEADS AND TAILS CARD GAME ,7118,8500.16,Fast Moving,YES
21792,CLASSIC FRENCH STYLE BASKET GREEN ,331,1388.65,Medium Moving,NO
21793,CLASSIC FRENCH STYLE BASKET BROWN,296,1240.44,Medium Moving,NO
21794,CLASSIC FRENCH STYLE BASKET NATURAL,501,2064.4700000000003,Medium Moving,YES
21801,CHRISTMAS TREE DECORATION WITH BELL,457,191.94,Medium Moving,NO
21802,CHRISTMAS TREE HEART DECORATION,997,418.74,Medium Moving,YES
21803,CHRISTMAS TREE STAR DECORATION,1101,462.41999999999996,Fast Moving,YES
21804,WHITE CHRISTMAS GARLAND STARS TREES,178,656.7,Slow Moving,NO
21807,WHITE CHRISTMAS STAR DECORATION,414,173.88,Medium Moving,NO
21808,"CHRISTMAS GARLAND STARS,TREES",99,366.25,Slow Moving,NO
21809,CHRISTMAS HANGING TREE WITH BELL,1857,993.66,Fast Moving,YES
21810,CHRISTMAS HANGING STAR WITH BELL,5200,2402.12,Fast Moving,YES
21811,CHRISTMAS HANGING HEART WITH BELL,216,270.0,Medium Moving,NO
21811,HANGING HEART WITH BELL,4112,1906.58,Fast Moving,YES
21812,GARLAND WITH HEARTS AND BELLS,217,1032.15,Medium Moving,NO
21813,GARLAND WITH STARS AND BELLS,250,1187.1000000000001,Medium Moving,NO
21814,HEART T-LIGHT HOLDER ,71,102.95,Slow Moving,NO
21815,STAR  T-LIGHT HOLDER ,131,189.95,Slow Moving,NO
21816,CHRISTMAS TREE T-LIGHT HOLDER,33,47.849999999999994,Slow Moving,NO
21817,GLITTER CHRISTMAS TREE,902,405.14000000000004,Medium Moving,YES
21818,GLITTER CHRISTMAS HEART ,262,222.7,Medium Moving,NO
21818,GLITTER HEART DECORATION,2434,1056.3400000000001,Fast Moving,YES
21819,GLITTER CHRISTMAS STAR ,2462,1053.46,Fast Moving,YES
21820,GLITTER HEART GARLAND WITH BELLS ,288,1068.59,Medium Moving,NO
21821,GLITTER STAR GARLAND WITH BELLS ,223,825.45,Medium Moving,NO
21822,GLITTER CHRISTMAS TREE WITH BELLS,573,527.65,Medium Moving,YES
21823,PAINTED METAL HEART WITH HOLLY BELL,1195,687.5899999999999,Fast Moving,YES
21824,PAINTED METAL STAR WITH HOLLY BELLS,1449,697.61,Fast Moving,YES
21826,EIGHT PIECE DINOSAUR SET,92,115.0,Slow Moving,NO
21827,EIGHT PIECE CREEPY CRAWLIE SET,6,7.5,Slow Moving,NO
21828,EIGHT PIECE SNAKE  SET,311,388.75,Medium Moving,NO
21829,DINOSAUR KEYRINGS ASSORTED,6354,1310.25,Fast Moving,YES
21830,ASSORTED CREEPY CRAWLIES,2551,1073.47,Fast Moving,YES
21832,CHOCOLATE CALCULATOR,779,1296.83,Medium Moving,YES
21833,CAMOUFLAGE LED TORCH,2628,4278.12,Fast Moving,YES
21836,GINGHAM OVEN GLOVE RED HEART ,3,11.25,Slow Moving,NO
21839,MUMMY MOUSE RED GINGHAM RIBBON,1,5.45,Slow Moving,NO
21841,BABY MOUSE RED GINGHAM DRESS,72,306.0,Slow Moving,NO
21843,RED RETROSPOT CAKE STAND,1808,17918.8,Fast Moving,YES
21844,RED RETROSPOT MUG,1813,4969.150000000001,Fast Moving,YES
21845,DAIRY MAID STRIPE MUG,1906,1720.3000000000002,Fast Moving,YES
21846,PINK DIAMANTE PEN IN GIFT BOX,72,365.62,Slow Moving,NO
21847,GREEN  DIAMANTE PEN IN GIFT BOX,9,44.550000000000004,Slow Moving,NO
21849,SILVER DIAMANTE PEN IN GIFT BOX,50,250.84000000000003,Slow Moving,NO
21850,BLUE  DIAMANTE PEN IN GIFT BOX,60,271.8,Slow Moving,NO
21851,LILAC DIAMANTE PEN IN GIFT BOX,26,138.72,Slow Moving,NO
21864,UNION JACK FLAG PASSPORT COVER ,609,1190.3400000000001,Medium Moving,YES
21865,PINK UNION JACK  PASSPORT COVER ,220,457.08000000000004,Medium Moving,NO
21866,UNION JACK FLAG LUGGAGE TAG,534,666.71,Medium Moving,YES
21867,PINK UNION JACK  LUGGAGE TAG,261,330.02,Medium Moving,NO
21868,POTTING SHED TEA MUG,2344,2924.48,Fast Moving,YES
21870,I CAN ONLY PLEASE ONE PERSON MUG,1349,1658.89,Fast Moving,YES
21871,SAVE THE PLANET MUG,5264,6150.13,Fast Moving,YES
21872,GLAMOROUS  MUG,1265,1365.73,Fast Moving,YES
21873,IF YOU CAN'T STAND THE HEAT MUG,1583,1748.59,Fast Moving,YES
21874,GIN AND TONIC MUG,2845,3715.6099999999997,Fast Moving,YES
21875,KINGS CHOICE MUG,2000,2249.56,Fast Moving,YES
21876,POTTERING MUG,3541,4049.61,Fast Moving,YES
21877,HOME SWEET HOME MUG,5340,6698.56,Fast Moving,YES
21878,PACK OF 6 SANDCASTLE FLAGS ASSORTED,2396,1972.8999999999999,Fast Moving,YES
21879,HEARTS GIFT TAPE,1025,301.93,Fast Moving,YES
21880,RED RETROSPOT TAPE,1458,668.94,Fast Moving,YES
21881,CUTE CATS TAPE,975,315.55,Medium Moving,YES
21882,SKULLS TAPE,598,189.98000000000002,Medium Moving,YES
21883,STARS GIFT TAPE ,1368,581.0600000000001,Fast Moving,YES
21884,CAKES AND BOWS GIFT  TAPE,1017,318.81,Fast Moving,YES
21888,BINGO SET,1551,5718.21,Fast Moving,YES
21889,WOODEN BOX OF DOMINOES,5766,7200.95,Fast Moving,YES
21890,S/6 WOODEN SKITTLES IN COTTON BAG,1070,3247.16,Fast Moving,YES
21891,TRADITIONAL WOODEN SKIPPING ROPE,7904,9998.32,Fast Moving,YES
21892,TRADITIONAL WOODEN CATCH CUP GAME ,2910,3651.75,Fast Moving,YES
21894,POTTING SHED SEED ENVELOPES,471,604.48,Medium Moving,NO
21895,POTTING SHED SOW 'N' GROW SET,1,4.25,Slow Moving,NO
21896,POTTING SHED TWINE,946,2152.2000000000003,Medium Moving,YES
21897,POTTING SHED CANDLE CITRONELLA,402,1250.82,Medium Moving,NO
21898,POTTING SHED ROSE CANDLE,445,1423.03,Medium Moving,NO
21899,GARAGE KEY FOB,730,489.20000000000005,Medium Moving,YES
21899,"KEY FOB , GARAGE DESIGN",1870,1140.6200000000001,Fast Moving,YES
21900,"KEY FOB , SHED",3081,1959.13,Fast Moving,YES
21901,"KEY FOB , BACK DOOR ",1742,1140.26,Fast Moving,YES
21902,"KEY FOB , FRONT  DOOR ",1902,1168.2800000000002,Fast Moving,YES
21903,MAN FLU METAL SIGN,1127,2356.38,Fast Moving,YES
21904,HOUSE WRECKING METAL SIGN ,50,105.0,Slow Moving,NO
21905,MORE BUTTER METAL SIGN ,684,705.3100000000001,Medium Moving,YES
21906,PHARMACIE FIRST AID TIN,483,3220.81,Medium Moving,NO
21907,I'M ON HOLIDAY METAL SIGN,2292,4757.35,Fast Moving,YES
21908,CHOCOLATE THIS WAY METAL SIGN,3633,7204.320000000001,Fast Moving,YES
21910,WAY OUT METAL SIGN ,36,59.39999999999999,Slow Moving,NO
21911,GARDEN METAL SIGN ,105,173.24999999999997,Slow Moving,NO
21912,VINTAGE SNAKES & LADDERS,1571,5508.53,Fast Moving,YES
21913,VINTAGE SEASIDE JIGSAW PUZZLES,305,1142.53,Medium Moving,NO
21914,BLUE HARMONICA IN BOX ,7431,9218.88,Fast Moving,YES
21915,RED  HARMONICA IN BOX ,20945,23756.43,Fast Moving,YES
21916,SET 12 RETRO WHITE CHALK STICKS,4362,1771.12,Fast Moving,YES
21917,SET 12 KIDS  WHITE CHALK STICKS,4090,1651.14,Fast Moving,YES
21918,SET 12 KIDS COLOUR  CHALK STICKS,7012,2814.2799999999997,Fast Moving,YES
21922,UNION STRIPE WITH FRINGE  HAMMOCK,758,5674.14,Medium Moving,YES
21925,UNION STRIPE CUSHION COVER ,403,503.75,Medium Moving,NO
21926,RED/CREAM STRIPE CUSHION COVER ,414,509.9,Medium Moving,NO
21927,BLUE/CREAM STRIPE CUSHION COVER ,622,769.9,Medium Moving,YES
21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,7754,14626.73,Fast Moving,YES
21928,JUMBO BAG SCANDINAVIAN PAISLEY,1945,3426.75,Fast Moving,YES
21929,JUMBO BAG PINK VINTAGE PAISLEY,9888,18427.9,Fast Moving,YES
21930,JUMBO STORAGE BAG SKULLS,5694,10865.83,Fast Moving,YES
21931,JUMBO STORAGE BAG SUKI,11513,21784.84,Fast Moving,YES
21932,SCANDINAVIAN PAISLEY PICNIC BAG,2463,4357.06,Fast Moving,YES
21933,PINK VINTAGE PAISLEY PICNIC BAG,2406,4289.26,Fast Moving,YES
21934,SKULL SHOULDER BAG,1288,2081.2,Fast Moving,YES
21935,SUKI  SHOULDER BAG,1763,2824.37,Fast Moving,YES
21936,RED RETROSPOT PICNIC BAG,3756,10365.76,Fast Moving,YES
21937,STRAWBERRY   PICNIC BAG,1590,4430.5,Fast Moving,YES
21942,SKULLS DESIGN FLANNEL,161,134.54999999999998,Slow Moving,NO
21943,CAKES AND RABBITS DESIGN FLANNEL ,57,48.449999999999996,Slow Moving,NO
21944,KITTENS DESIGN FLANNEL,232,177.88,Medium Moving,NO
21945,STRAWBERRIES  DESIGN FLANNEL ,225,190.79,Medium Moving,NO
21946,PARTY TIME DESIGN FLANNEL,72,58.9,Slow Moving,NO
21947,SET OF 6 HEART CHOPSTICKS,594,741.48,Medium Moving,YES
21948,SET OF 6 CAKE CHOPSTICKS,417,541.82,Medium Moving,NO
21949,SET OF 6 STRAWBERRY CHOPSTICKS,613,725.49,Medium Moving,YES
21955,DOORMAT UNION JACK GUNS AND ROSES,1157,6619.41,Fast Moving,YES
21967,PACK OF 12 SKULL TISSUES,5162,1504.9799999999998,Fast Moving,YES
21972,SET OF 36 DINOSAUR PAPER DOILIES,292,423.4,Medium Moving,NO
21973,SET OF 36 MUSHROOM PAPER DOILIES,159,230.54999999999998,Slow Moving,NO
21974,SET OF 36 PAISLEY FLOWER DOILIES,2036,2942.5099999999998,Fast Moving,YES
21975,PACK OF 60 DINOSAUR CAKE CASES,12106,5919.280000000001,Fast Moving,YES
21976,PACK OF 60 MUSHROOM CAKE CASES,4936,2496.08,Fast Moving,YES
21977,PACK OF 60 PINK PAISLEY CAKE CASES,24230,11611.0,Fast Moving,YES
21980,PACK OF 12 RED RETROSPOT TISSUES ,6521,2002.7299999999998,Fast Moving,YES
21981,PACK OF 12 WOODLAND TISSUES ,5281,1508.87,Fast Moving,YES
21982,PACK OF 12 SUKI TISSUES ,6907,1995.05,Fast Moving,YES
21983,PACK OF 12 BLUE PAISLEY TISSUES ,2223,712.7299999999999,Fast Moving,YES
21984,PACK OF 12 PINK PAISLEY TISSUES ,3294,999.5999999999999,Fast Moving,YES
21985,PACK OF 12 HEARTS DESIGN TISSUES ,8541,2542.17,Fast Moving,YES
21986,PACK OF 12 PINK POLKADOT TISSUES,3985,1129.79,Fast Moving,YES
21987,PACK OF 6 SKULL PAPER CUPS,2050,1254.74,Fast Moving,YES
21988,PACK OF 6 SKULL PAPER PLATES,2194,1663.3,Fast Moving,YES
21989,PACK OF 20 SKULL PAPER NAPKINS,2065,1672.6899999999998,Fast Moving,YES
21990,MODERN FLORAL STATIONERY SET,1212,1734.6,Fast Moving,YES
21991,BOHEMIAN COLLAGE STATIONERY SET,471,675.53,Medium Moving,NO
21992,VINTAGE PAISLEY STATIONERY SET,1151,1640.29,Fast Moving,YES
21993,FLORAL FOLK STATIONERY SET,1360,1927.3500000000001,Fast Moving,YES
22021,BLUE FELT EASTER EGG BASKET,350,577.4999999999999,Medium Moving,NO
22023,EMPIRE BIRTHDAY CARD,1131,476.25,Fast Moving,YES
22024,RAINY LADIES BIRTHDAY CARD,2280,918.91,Fast Moving,YES
22025,RING OF ROSES BIRTHDAY CARD,1764,702.0,Fast Moving,YES
22026,BANQUET BIRTHDAY  CARD  ,1560,642.24,Fast Moving,YES
22027,TEA PARTY BIRTHDAY CARD,4141,1692.71,Fast Moving,YES
22028,PENNY FARTHING BIRTHDAY CARD,2903,1198.45,Fast Moving,YES
22029,SPACEBOY BIRTHDAY CARD,7834,3120.14,Fast Moving,YES
22030,SWALLOWS GREETING CARD,5337,2120.55,Fast Moving,YES
22031,BOTANICAL LAVENDER BIRTHDAY CARD,363,158.61,Medium Moving,NO
22032,BOTANICAL LILY GREETING CARD,361,151.62,Medium Moving,NO
22033,BOTANICAL ROSE GREETING CARD,336,141.12,Medium Moving,NO
22034,ROBIN CHRISTMAS CARD,3,1.26,Slow Moving,NO
22035,VINTAGE CARAVAN GREETING CARD ,1394,569.02,Fast Moving,YES
22037,ROBOT BIRTHDAY CARD,3747,1552.96,Fast Moving,YES
22038,BOTANICAL LAVENDER GIFT WRAP ,475,199.5,Medium Moving,NO
22039,BOTANICAL LILY GIFT WRAP,250,105.0,Medium Moving,NO
22040,BOTANICAL ROSE GIFT WRAP,725,304.5,Medium Moving,YES
22041,"RECORD FRAME 7"" SINGLE SIZE ",3812,8450.82,Fast Moving,YES
22042,CHRISTMAS CARD SINGING ANGEL,360,151.2,Medium Moving,NO
22043,CHRISTMAS CARD SCREEN PRINT ,1188,283.32,Fast Moving,YES
22044,CHRISTMAS CARD STACK OF PRESENTS,816,196.44,Medium Moving,YES
22045,SPACEBOY GIFT WRAP,6477,2652.34,Fast Moving,YES
22046,TEA PARTY  WRAPPING PAPER ,2250,929.0,Fast Moving,YES
22047,EMPIRE GIFT WRAP,3350,1363.0,Fast Moving,YES
22048,BIRTHDAY BANQUET GIFT WRAP,975,393.5,Medium Moving,YES
22049,WRAP CHRISTMAS SCREEN PRINT,1000,270.5,Fast Moving,YES
22050,PINK PAISLEY ROSE GIFT WRAP,1225,498.5,Fast Moving,YES
22051,BLUE SCANDINAVIAN PAISLEY WRAP,975,409.5,Medium Moving,YES
22052,VINTAGE CARAVAN GIFT WRAP,571,239.82,Medium Moving,YES
22053,EMPIRE DESIGN ROSETTE,4236,3596.4199999999996,Fast Moving,YES
22055,MINI CAKE STAND  HANGING STRAWBERY,1246,1661.78,Fast Moving,YES
22057,CERAMIC PLATE STRAWBERRY DESIGN,578,648.18,Medium Moving,YES
22059,CERAMIC STRAWBERRY DESIGN MUG,1739,1960.47,Fast Moving,YES
22060,LARGE CAKE STAND HANGING HEARTS,231,1111.05,Medium Moving,NO
22061,LARGE CAKE STAND  HANGING STRAWBERY,564,3854.68,Medium Moving,YES
22062,CERAMIC BOWL WITH LOVE HEART DESIGN,554,599.74,Medium Moving,YES
22063,CERAMIC BOWL WITH STRAWBERRY DESIGN,537,1106.5500000000002,Medium Moving,YES
22064,PINK DOUGHNUT TRINKET POT ,1602,2132.7,Fast Moving,YES
22065,CHRISTMAS PUDDING TRINKET POT ,6418,2883.44,Fast Moving,YES
22066,LOVE HEART TRINKET POT,2232,1029.1399999999999,Fast Moving,YES
22067,CHOC TRUFFLE GOLD TRINKET POT ,385,562.53,Medium Moving,NO
22068,BLACK PIRATE TREASURE CHEST,432,502.37999999999994,Medium Moving,NO
22069,BROWN  PIRATE TREASURE CHEST ,218,237.47999999999996,Medium Moving,NO
22070,SMALL RED RETROSPOT MUG IN BOX ,873,2030.68,Medium Moving,YES
22071,SMALL WHITE RETROSPOT MUG IN BOX ,710,1295.04,Medium Moving,YES
22072,RED RETROSPOT TEA CUP AND SAUCER ,807,2519.19,Medium Moving,YES
22073,RED RETROSPOT STORAGE JAR,298,1067.1,Medium Moving,NO
22074,6 RIBBONS SHIMMERING PINKS ,1000,772.9399999999999,Fast Moving,YES
22075,6 RIBBONS ELEGANT CHRISTMAS ,1538,2004.9199999999998,Fast Moving,YES
22076,6 RIBBONS EMPIRE  ,1034,1302.7199999999998,Fast Moving,YES
22077,6 RIBBONS RUSTIC CHARM,8594,14969.839999999998,Fast Moving,YES
22078,RIBBON REEL LACE DESIGN ,1288,2584.8,Fast Moving,YES
22079,RIBBON REEL HEARTS DESIGN ,1701,2808.89,Fast Moving,YES
22080,RIBBON REEL POLKADOTS ,1167,1877.55,Fast Moving,YES
22081,RIBBON REEL FLORA + FAUNA ,585,978.37,Medium Moving,YES
22082,RIBBON REEL STRIPES DESIGN ,2525,4154.33,Fast Moving,YES
22083,PAPER CHAIN KIT RETROSPOT,4265,11935.310000000001,Fast Moving,YES
22084,PAPER CHAIN KIT EMPIRE,4885,13411.550000000001,Fast Moving,YES
22085,PAPER CHAIN KIT SKULLS ,507,1415.65,Medium Moving,YES
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,15591,42584.130000000005,Fast Moving,YES
22087,PAPER BUNTING WHITE LACE,3772,10243.400000000001,Fast Moving,YES
22088,PAPER BUNTING COLOURED LACE,1698,4683.1,Fast Moving,YES
22089,PAPER BUNTING VINTAGE PAISLEY,1189,3395.55,Fast Moving,YES
22090,PAPER BUNTING RETROSPOT,6877,18785.99,Fast Moving,YES
22091,EMPIRE TISSUE BOX,1937,919.6700000000001,Fast Moving,YES
22092,BLUE PAISLEY TISSUE BOX,666,311.56,Medium Moving,YES
22093,MOTORING TISSUE BOX,1823,804.8100000000001,Fast Moving,YES
22094,RED RETROSPOT TISSUE BOX,2081,930.0400000000001,Fast Moving,YES
22095,LADS ONLY TISSUE BOX,1571,1427.59,Fast Moving,YES
22096,PINK PAISLEY SQUARE TISSUE BOX ,1357,561.75,Fast Moving,YES
22097,SWALLOW SQUARE TISSUE BOX,1577,685.5500000000001,Fast Moving,YES
22098,BOUDOIR SQUARE TISSUE BOX,1955,910.08,Fast Moving,YES
22099,CARAVAN SQUARE TISSUE BOX,1399,703.57,Fast Moving,YES
22100,SKULLS SQUARE TISSUE BOX,727,304.17,Medium Moving,YES
22101,MIRROR MOSAIC VOTIVE HOLDER,837,631.62,Medium Moving,YES
22102,MIRROR MOSAIC T-LIGHT HOLDER ,1533,715.05,Fast Moving,YES
22103,MIRROR MOSAIC T-LIGHT HOLDER ROUND,1153,694.29,Fast Moving,YES
22104,MIRROR MOSAIC CANDLE PLATE,151,120.07,Slow Moving,NO
22105,MIRROR MOSAIC GOBLET CANDLE HOLDER,506,566.5,Medium Moving,YES
22106,MIRROR MOSAIC HURRICANE LAMP ,286,584.9,Medium Moving,NO
22107,PIZZA PLATE IN BOX,291,962.48,Medium Moving,NO
22108,PING! MICROWAVE PLATE,101,246.53,Slow Moving,NO
22109,FULL ENGLISH BREAKFAST PLATE,1381,4985.55,Fast Moving,YES
22110,BIRD HOUSE HOT WATER BOTTLE,617,1562.06,Medium Moving,YES
22111,SCOTTIE DOG HOT WATER BOTTLE,4248,20049.9,Fast Moving,YES
22112,CHOCOLATE HOT WATER BOTTLE,5152,23584.64,Fast Moving,YES
22113,GREY HEART HOT WATER BOTTLE,3145,12148.9,Fast Moving,YES
22114,HOT WATER BOTTLE TEA AND SYMPATHY,3729,15386.07,Fast Moving,YES
22115,METAL SIGN EMPIRE TEA,1495,1706.8100000000002,Fast Moving,YES
22116,METAL SIGN HIS DINNER IS SERVED,505,493.39000000000004,Medium Moving,YES
22117,METAL SIGN HER DINNER IS SERVED ,1290,3802.5,Fast Moving,YES
22118,JOY WOODEN BLOCK LETTERS,217,742.63,Medium Moving,NO
22119,PEACE WOODEN BLOCK LETTERS,342,1699.66,Medium Moving,NO
22120,WELCOME  WOODEN BLOCK LETTERS,502,4826.67,Medium Moving,YES
22121,NOEL WOODEN BLOCK LETTERS ,332,1924.94,Medium Moving,NO
22123,PING MICROWAVE APRON,442,793.5999999999999,Medium Moving,NO
22124,SET OF 2 TEA TOWELS PING MICROWAVE,78,127.42,Slow Moving,NO
22125,UNION JACK HOT WATER BOTTLE ,4,23.8,Slow Moving,NO
22127,PARTY CONES CARNIVAL ASSORTED,402,479.7,Medium Moving,NO
22128,PARTY CONES CANDY ASSORTED,1729,2042.69,Fast Moving,YES
22129,PARTY CONES CANDY DECORATION,296,233.27999999999997,Medium Moving,NO
22129,PARTY CONES CANDY TREE DECORATION,690,552.18,Medium Moving,YES
22130,PARTY CONE CHRISTMAS DECORATION ,1505,1260.53,Fast Moving,YES
22131,FOOD CONTAINER SET 3 LOVE HEART ,1884,3358.72,Fast Moving,YES
22132,RED LOVE HEART SHAPE CUP,935,772.91,Medium Moving,YES
22133,PINK LOVE HEART SHAPE CUP,702,585.78,Medium Moving,YES
22134,LADLE LOVE HEART RED ,6,2.52,Slow Moving,NO
22134,MINI LADLE LOVE HEART RED ,630,252.24,Medium Moving,YES
22135,LADLE LOVE HEART PINK,19,7.98,Slow Moving,NO
22135,MINI LADLE LOVE HEART PINK,242,106.56,Medium Moving,NO
22136,LOVE HEART SOCK HANGER,333,530.25,Medium Moving,NO
22137,BATHROOM SET LOVE HEART DESIGN,68,191.0,Slow Moving,NO
22138,BAKING SET 9 PIECE RETROSPOT ,4786,22953.100000000002,Fast Moving,YES
22139,RETROSPOT TEA SET CERAMIC 11 PC ,4239,20426.23,Fast Moving,YES
22141,CHRISTMAS CRAFT TREE TOP ANGEL,2443,5015.080000000001,Fast Moving,YES
22142,CHRISTMAS CRAFT WHITE FAIRY ,3070,4334.94,Fast Moving,YES
22144,CHRISTMAS CRAFT LITTLE FRIENDS,3459,7109.200000000001,Fast Moving,YES
22145,CHRISTMAS CRAFT HEART STOCKING ,30,63.0,Slow Moving,NO
22146,EASTER CRAFT IVY WREATH WITH CHICK,1,1.95,Slow Moving,NO
22147,FELTCRAFT BUTTERFLY HEARTS,6123,8308.75,Fast Moving,YES
22148,EASTER CRAFT 4 CHICKS ,1813,3355.35,Fast Moving,YES
22149,FELTCRAFT 6 FLOWER FRIENDS,5882,11549.59,Fast Moving,YES
22150,3 STRIPEY MICE FELTCRAFT,2914,5460.5,Fast Moving,YES
22151,PLACE SETTING WHITE HEART,14853,5912.19,Fast Moving,YES
22152,PLACE SETTING WHITE STAR,2350,967.13,Fast Moving,YES
22153,ANGEL DECORATION STARS ON DRESS,2399,987.42,Fast Moving,YES
22154,ANGEL DECORATION 3 BUTTONS ,3528,1455.84,Fast Moving,YES
22155,STAR DECORATION RUSTIC,2201,924.42,Fast Moving,YES
22156,HEART DECORATION WITH PEARLS ,1873,1586.4599999999998,Fast Moving,YES
22157,ANGEL DECORATION WITH LACE PADDED,212,180.2,Medium Moving,NO
22158,3 HEARTS HANGING DECORATION RUSTIC,2845,8013.71,Fast Moving,YES
22161,HEART DECORATION RUSTIC HANGING ,4138,855.9200000000001,Fast Moving,YES
22162,HEART GARLAND RUSTIC PADDED,106,312.7,Slow Moving,NO
22163,HEART STRING MEMO HOLDER HANGING,626,580.94,Medium Moving,YES
22164,STRING OF STARS CARD HOLDER,71,209.45000000000005,Slow Moving,NO
22165,"DIAMANTE HEART SHAPED WALL MIRROR, ",267,1490.65,Medium Moving,NO
22166,WALL MIRROR RECTANGLE DIAMANTE PINK,122,489.9000000000001,Slow Moving,NO
22167, OVAL WALL MIRROR DIAMANTE ,120,1050.0,Slow Moving,NO
22168,ORGANISER WOOD ANTIQUE WHITE ,139,1171.3,Slow Moving,NO
22169,FAMILY ALBUM WHITE PICTURE FRAME,1074,8408.14,Fast Moving,YES
22170,PICTURE FRAME WOOD TRIPLE PORTRAIT,1023,6378.150000000001,Fast Moving,YES
22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,1706,12160.08,Fast Moving,YES
22173,METAL 4 HOOK HANGER FRENCH CHATEAU,2149,6267.39,Fast Moving,YES
22174,PHOTO CUBE,2667,3997.91,Fast Moving,YES
22175,PINK OWL SOFT TOY,839,2379.05,Medium Moving,YES
22176,BLUE OWL SOFT TOY,488,1420.4,Medium Moving,NO
22178,VICTORIAN GLASS HANGING T-LIGHT,22404,28735.36,Fast Moving,YES
22179,SET 10 LIGHTS NIGHT OWL,407,2593.65,Medium Moving,NO
